action_number,action_type,descriptive_goal,goal_objective,hazard,lead_agency,supporting_agencies,funding_source,status,term,action
15-O,Ongoing,Life Safety & Preparedness,"Goal 1, Objective 4","Fire/Carbon Monoxide",IEMA-OHS,"ARC; CMS; DCEO; DHS; DOI; IESMA","General Revenue Funds","IEMA-OHS works with partner agencies on awareness and installation projects throughout the state.","Long Term","Promote the installation of smoke detectors and carbon monoxide detectors in residences throughout Illinois."
16-O,Ongoing,Life Safety & Preparedness,"Goal 1, Objective 4",Wind,IEMA-OHS,NWS,"General Revenue Funds; HMGP 5% Funds","IEMA-OHS partners with FEMA to hold safe room funding workshops. IEMA-OHS funded a safe room project at Illinois State University.","Long Term","Organize wind-resistant construction and/or safe room workshops."
17-N,New,Life Safety & Preparedness,"Goal 1, Objective 4",Wind,IEMA-OHS,ISBE,"General Revenue Funds","New action item","Long Term","Support the construction of tornado safe rooms in local communities' public buildings, public schools, and eligible private nonprofit facilities to FEMA standards."
18-N,New,Life Safety & Preparedness,"Goal 1, Objective 4",Multi-Hazard,IEMA-OHS,"Illinois State VOAD; University of Illinois Extension; American Red Cross","General Revenue Funds","New action item","Long Term","Support family preparedness programs throughout the state through existing community education sources."
19-N,New,Risk Reduction & Resilient Infrastructure,"Goal 2, Objective 1",Multi-Hazard,IEMA-OHS,"","General Revenue Funds","New action item","Long Term","Track local community hazard mitigation plans to ensure completion of new plans and updates to existing plans as their five-year cycle expires."
20-N,New,Risk Reduction & Resilient Infrastructure,"Goal 2, Objective 1",Multi-Hazard,IEMA-OHS,"","General Revenue Funds","New action item","Long Term","Use IEMA-OHS staff to encourage and track policies, capabilities, and implementation of actions in local mitigation plans."
21-N,New,Risk Reduction & Resilient Infrastructure,"Goal 2, Objective 1",Multi-Hazard,IEMA-OHS,CDB,"General Revenue Funds","New action item","Long Term","Pursue mitigation of state owned/operated facilities."
22-N,New,Risk Reduction & Resilient Infrastructure,"Goal 2, Objective 1",Flood,IDNR/OWR,IEMA-OHS,"General Revenue Funds","New action item","Long Term","Support community flood mitigation projects through federal grant support and local technical assistance."
28-N,New,Risk Reduction & Resilient Infrastructure,"Goal 2, Objective 2",Flood,IEMA-OHS,"ISWS; IDNR/OWR","General Revenue Funds","New action item. State Water Plan.","Long Term","Explore advances in technology and utilize data from new sources including LiDAR to generate preliminary-level 2-D models for the entire state for planning, response, recovery, and prioritization."
29-N,New,Risk Reduction & Resilient Infrastructure,"Goal 2, Objective 2",Multi-Hazard,IEMA-OHS,"DCEO; IDNR","General Revenue Funds","New action item","Long Term","Assist communities with enrollment in FEMA's Direct Technical Assistance program."
94-O,Ongoing,"Coordination, Capacity & Data Systems","Goal 3, Objective 3",Multi-Hazard,IEMA-OHS,"CMS; IDOT","General Revenue Funds","Ongoing. IEMA-OHS is working with CMS and IDOT on this initiative.","Short Term","Explore possibilities for the creation of a mobile support team and legislation to provide technical engineering and architectural staff capable of assessing structural safety of facilities for disaster resilience."
95-O,Ongoing,"Coordination, Capacity & Data Systems","Goal 3, Objective 3",Multi-Hazard,IEMA-OHS,"","General Revenue Funds","IEMA-OHS Public Sections provides training related to damage assessments. IEMA-OHS has created a training section to conduct on-site training for local jurisdictions.","Long Term","Provide instructional and training opportunities for local code officials to conduct pre-disaster assessments of structural safety of facilities for disaster resilience."
96-N,New,"Coordination, Capacity & Data Systems","Goal 3, Objective 3",Multi-Hazard,IEMA-OHS,"IDOA; University of Illinois Extension","General Revenue Funds","New action item","Long Term","Help local and State officials better understand Agricultural Disaster Declarations versus Presidential Disaster Declarations."
97-N,New,"Coordination, Capacity & Data Systems","Goal 3, Objective 3",Multi-Hazard,IEMA-OHS,"IDOA; University of Illinois Extension","General Revenue Funds","New action item","Long Term","Develop more situational awareness between IEMA-OHS and Farm Services Agency for better response."
98-O,Ongoing,"Coordination, Capacity & Data Systems","Goal 3, Objective 4",Flood,IEMA-OHS,"IESMA; IMAG","General Revenue Funds","IEMA-OHS will update the IMAG team and share information with local agencies through annual maintenance of the State Hazard Mitigation Plan.","Long Term","Send updated information on the PDM initiative to eligible municipal and county managers, local planners, and floodplain administrators annually."
99-O,Ongoing,"Coordination, Capacity & Data Systems","Goal 3, Objective 4",Multi-Hazard,IEMA-OHS,"IESMA; IMAG","General Revenue Funds","Presented on IEMA-OHS monthly calls with Illinois counties.","Long Term","Publicize Section 322 of the Disaster Mitigation Act of 2000 to local public officials in all outreach activities."
126-O,Ongoing,"Public Education & Outreach","Goal 4, Objective 2",Multi-Hazard,IEMA-OHS,"","General Revenue Funds","IEMA-OHS holds monthly meetings to discuss safety issues associated with gas and electric utilities.","Long Term","Continue to educate the public about safety issues related to natural hazards at electric and natural gas utilities."
127-O,Ongoing,"Public Education & Outreach","Goal 4, Objective 2",Multi-Hazard,IEMA-OHS,"IFSM; ISWS","General Revenue Funds","IEMA-OHS responds to media requests and promotes mitigation success through the IEMA-OHS website and regular media releases.","Long Term","Provide information to media reporting on past disasters and mitigation in the aftermath of a disaster."
128-O,Ongoing,"Public Education & Outreach","Goal 4, Objective 2",Flood,IEMA-OHS,"IDNR/OWR; ISWS","CAP Funds","IAFSM and IEMA-OHS will continue to offer workshops throughout the state.","Long Term","Work with IAFSM to conduct flood proofing workshops."
129-O,Ongoing,"Public Education & Outreach","Goal 4, Objective 2",Earthquake,IEMA-OHS,"IFSM; ISWS","General Revenue Funds","IEMA-OHS will continue outreach through annual training summit, regional conversations, and simulations.","Long Term","Using the Earthquake Coordinator, conduct outreach and education on the potential impact of earthquakes on Illinois businesses and residents."
130-O,Ongoing,"Public Education & Outreach","Goal 4, Objective 3",Multi-Hazard,IEMA-OHS,ISBE,"General Revenue Funds","IEMA-OHS will provide information and materials related to hazard resistant construction methods to ISBE. New efforts include green infrastructure.","Long Term","Work with ISBE to provide hazard resistant construction information and workshops to vocational schoolteachers."
131-O,Ongoing,"Public Education & Outreach","Goal 4, Objective 3",Multi-Hazard,IEMA-OHS,ISBE,"General Revenue Funds; HMGP 5% Funds","Continue and expand training efforts across the state, including new building codes and green technology.","Long Term","Provide workshops for construction workers on hazard resistant construction with construction unions and building associations."
132-O,Ongoing,"Public Education & Outreach","Goal 4, Objective 4",Multi-Hazard,IEMA-OHS,"Mitigation and Recovery Teams","General Revenue Funds","Ongoing post-disaster outreach procedure action.","Long Term","Develop and maintain post-disaster outreach procedures and assign staff to mitigation and/or recovery teams."
